cluster,treated_group,period,post,mean_outcome
24,0,3,0,34.79
24,0,4,0,36.31
24,0,5,1,38.65
24,0,6,1,38.42
24,0,7,1,46.01
24,0,8,1,42.26
25,0,1,0,49.3
25,0,2,0,45.36
25,0,3,0,51.3
25,0,4,0,50.38
25,0,5,1,53.62
25,0,6,1,56.32
25,0,7,1,58.59
25,0,8,1,55.47
26,0,1,0,44.25
26,0,2,0,48.76
26,0,3,0,47.48
26,0,4,0,51.44
26,0,5,1,46.69
26,0,6,1,46.17
26,0,7,1,47.88
26,0,8,1,50.92
27,0,1,0,39.82
27,0,2,0,41.4
27,0,3,0,42.03
27,0,4,0,39.38
27,0,5,1,37.01
27,0,6,1,40.05
27,0,7,1,42.09
27,0,8,1,46.92
28,0,1,0,39.67
28,0,2,0,41.46
28,0,3,0,41.44
28,0,4,0,41.5
28,0,5,1,41.41
28,0,6,1,52.02
28,0,7,1,43.44
28,0,8,1,52.36
29,0,1,0,41.39
29,0,2,0,35.55
29,0,3,0,43.61
29,0,4,0,41.96
29,0,5,1,48.49
29,0,6,1,48.61
29,0,7,1,41.18
29,0,8,1,49.83
30,0,1,0,52.68
30,0,2,0,48.49
30,0,3,0,57.78
30,0,4,0,55.23
30,0,5,1,57.08
30,0,6,1,58.27
30,0,7,1,61.51
30,0,8,1,59.33
